level-0,level-1,level-2,level-3,level-4,level-5
194733,182574-282574,182574-382574,182574-582574,182574-982574,any
194740,182580-282580,182580-382580,182580-582580,182580-982580,any
194746,182585-282585,182585-382585,182585-582585,182585-982585,any
194748,182586-282586,182586-382586,182586-582586,182586-982586,any
194772,182609-282609,182609-382609,182609-582609,182609-982609,any
194773,182609-282609,182609-382609,182609-582609,182609-982609,any
194788,182623-282623,182623-382623,182623-582623,182623-982623,any
194791,182625-282625,182625-382625,182625-582625,182625-982625,any
194809,182642-282642,182642-382642,182642-582642,182642-982642,any
194827,182659-282659,182659-382659,182659-582659,182659-982659,any
194828,182659-282659,182659-382659,182659-582659,182659-982659,any
194829,182659-282659,182659-382659,182659-582659,182659-982659,any
194848,182677-282677,182677-382677,182677-582677,182677-982677,any
194850,182678-282678,182678-382678,182678-582678,182678-982678,any
194861,182688-282688,182688-382688,182688-582688,182688-982688,any
194864,182690-282690,182690-382690,182690-582690,182690-982690,any
194891,182716-282716,182716-382716,182716-582716,182716-982716,any
194894,182718-282718,182718-382718,182718-582718,182718-982718,any
194895,182718-282718,182718-382718,182718-582718,182718-982718,any
194897,182719-282719,182719-382719,182719-582719,182719-982719,any
194901,182722-282722,182722-382722,182722-582722,182722-982722,any
194905,182725-282725,182725-382725,182725-582725,182725-982725,any
194908,182727-282727,182727-382727,182727-582727,182727-982727,any
194924,182742-282742,182742-382742,182742-582742,182742-982742,any
194940,182757-282757,182757-382757,182757-582757,182757-982757,any
194951,182767-282767,182767-382767,182767-582767,182767-982767,any
194954,182769-282769,182769-382769,182769-582769,182769-982769,any
194960,182774-282774,182774-382774,182774-582774,182774-982774,any
194962,182775-282775,182775-382775,182775-582775,182775-982775,any
194981,182793-282793,182793-382793,182793-582793,182793-982793,any
194987,182798-282798,182798-382798,182798-582798,182798-982798,any
194995,182805-282805,182805-382805,182805-582805,182805-982805,any
195000,182809-282809,182809-382809,182809-582809,182809-982809,any
195023,182831-282831,182831-382831,182831-582831,182831-982831,any
195025,182832-282832,182832-382832,182832-582832,182832-982832,any
195066,182872-282872,182872-382872,182872-582872,182872-982872,any
195075,182880-282880,182880-382880,182880-582880,182880-982880,any
195096,182900-282900,182900-382900,182900-582900,182900-982900,any
195105,182908-282908,182908-382908,182908-582908,182908-982908,any
195118,182920-282920,182920-382920,182920-582920,182920-982920,any
195124,182925-282925,182925-382925,182925-582925,182925-982925,any
195136,182936-282936,182936-382936,182936-582936,182936-982936,any
195143,182942-282942,182942-382942,182942-582942,182942-982942,any
195148,182946-282946,182946-382946,182946-582946,182946-982946,any
195161,182958-282958,182958-382958,182958-582958,182958-982958,any
195176,182972-282972,182972-382972,182972-582972,182972-982972,any
195179,182974-282974,182974-382974,182974-582974,182974-982974,any
195184,182978-282978,182978-382978,182978-582978,182978-982978,any
195189,182982-282982,182982-382982,182982-582982,182982-982982,any
195199,182991-282991,182991-382991,182991-582991,182991-982991,any
195201,182992-282992,182992-382992,182992-582992,182992-982992,any
195212,183002-283002,183002-383002,183002-583002,183002-983002,any
195216,183005-283005,183005-383005,183005-583005,183005-983005,any
195248,183036-283036,183036-383036,183036-583036,183036-983036,any
195253,183040-283040,183040-383040,183040-583040,183040-983040,any
195258,183044-283044,183044-383044,183044-583044,183044-983044,any
195262,183047-283047,183047-383047,183047-583047,183047-983047,any
195282,183066-283066,183066-383066,183066-583066,183066-983066,any
195284,183067-283067,183067-383067,183067-583067,183067-983067,any
195298,183080-283080,183080-383080,183080-583080,183080-983080,any
195322,183103-283103,183103-383103,183103-583103,183103-983103,any
195327,183107-283107,183107-383107,183107-583107,183107-983107,any
195329,183108-283108,183108-383108,183108-583108,183108-983108,any
195337,183115-283115,183115-383115,183115-583115,183115-983115,any
195343,183120-283120,183120-383120,183120-583120,183120-983120,any
195366,183142-283142,183142-383142,183142-583142,183142-983142,any
195372,183147-283147,183147-383147,183147-583147,183147-983147,any
195385,183159-283159,183159-383159,183159-583159,183159-983159,any
195394,183167-283167,183167-383167,183167-583167,183167-983167,any
195411,183183-283183,183183-383183,183183-583183,183183-983183,any
195418,183189-283189,183189-383189,183189-583189,183189-983189,any
195433,183203-283203,183203-383203,183203-583203,183203-983203,any
195437,183206-283206,183206-383206,183206-583206,183206-983206,any
195447,183215-283215,183215-383215,183215-583215,183215-983215,any
195453,183220-283220,183220-383220,183220-583220,183220-983220,any
195462,183228-283228,183228-383228,183228-583228,183228-983228,any
195467,183232-283232,183232-383232,183232-583232,183232-983232,any
195481,183245-283245,183245-383245,183245-583245,183245-983245,any
195486,183249-283249,183249-383249,183249-583249,183249-983249,any
195488,183250-283250,183250-383250,183250-583250,183250-983250,any
195491,183252-283252,183252-383252,183252-583252,183252-983252,any
195505,183265-283265,183265-383265,183265-583265,183265-983265,any
195507,183266-283266,183266-383266,183266-583266,183266-983266,any
195508,183266-283266,183266-383266,183266-583266,183266-983266,any
195516,183273-283273,183273-383273,183273-583273,183273-983273,any
195519,183275-283275,183275-383275,183275-583275,183275-983275,any
195520,183275-283275,183275-383275,183275-583275,183275-983275,any
195532,183286-283286,183286-383286,183286-583286,183286-983286,any
195545,183298-283298,183298-383298,183298-583298,183298-983298,any
195554,183306-283306,183306-383306,183306-583306,183306-983306,any
195555,183306-283306,183306-383306,183306-583306,183306-983306,any
195562,183312-283312,183312-383312,183312-583312,183312-983312,any
195573,183322-283322,183322-383322,183322-583322,183322-983322,any
195576,183324-283324,183324-383324,183324-583324,183324-983324,any
195584,183331-283331,183331-383331,183331-583331,183331-983331,any
195595,183341-283341,183341-383341,183341-583341,183341-983341,any
195602,183347-283347,183347-383347,183347-583347,183347-983347,any
195607,183351-283351,183351-383351,183351-583351,183351-983351,any
195612,183355-283355,183355-383355,183355-583355,183355-983355,any
195617,183359-283359,183359-383359,183359-583359,183359-983359,any
195635,183376-283376,183376-383376,183376-583376,183376-983376,any
195638,183378-283378,183378-383378,183378-583378,183378-983378,any
195661,183400-283400,183400-383400,183400-583400,183400-983400,any
195668,183406-283406,183406-383406,183406-583406,183406-983406,any
195678,183415-283415,183415-383415,183415-583415,183415-983415,any
195681,183417-283417,183417-383417,183417-583417,183417-983417,any
195686,183421-283421,183421-383421,183421-583421,183421-983421,any
195690,183424-283424,183424-383424,183424-583424,183424-983424,any
195727,183460-283460,183460-383460,183460-583460,183460-983460,any
195733,183465-283465,183465-383465,183465-583465,183465-983465,any
195734,183465-283465,183465-383465,183465-583465,183465-983465,any
195739,183469-283469,183469-383469,183469-583469,183469-983469,any
195744,183473-283473,183473-383473,183473-583473,183473-983473,any
195750,183478-283478,183478-383478,183478-583478,183478-983478,any
195755,183482-283482,183482-383482,183482-583482,183482-983482,any
195767,183493-283493,183493-383493,183493-583493,183493-983493,any
195770,183495-283495,183495-383495,183495-583495,183495-983495,any
195779,183503-283503,183503-383503,183503-583503,183503-983503,any
195784,183507-283507,183507-383507,183507-583507,183507-983507,any
195805,183527-283527,183527-383527,183527-583527,183527-983527,any
195808,183529-283529,183529-383529,183529-583529,183529-983529,any
195813,183533-283533,183533-383533,183533-583533,183533-983533,any
195820,183539-283539,183539-383539,183539-583539,183539-983539,any
195821,183539-283539,183539-383539,183539-583539,183539-983539,any
195833,183550-283550,183550-383550,183550-583550,183550-983550,any
195835,183551-283551,183551-383551,183551-583551,183551-983551,any
195844,183559-283559,183559-383559,183559-583559,183559-983559,any
195860,183574-283574,183574-383574,183574-583574,183574-983574,any
195868,183581-283581,183581-383581,183581-583581,183581-983581,any
195876,183588-283588,183588-383588,183588-583588,183588-983588,any
195881,183592-283592,183592-383592,183592-583592,183592-983592,any
195891,183601-283601,183601-383601,183601-583601,183601-983601,any
195892,183601-283601,183601-383601,183601-583601,183601-983601,any
195897,183605-283605,183605-383605,183605-583605,183605-983605,any
195914,183621-283621,183621-383621,183621-583621,183621-983621,any
195919,183625-283625,183625-383625,183625-583625,183625-983625,any
195922,183627-283627,183627-383627,183627-583627,183627-983627,any
195946,183650-283650,183650-383650,183650-583650,183650-983650,any
195949,183652-283652,183652-383652,183652-583652,183652-983652,any
195956,183658-283658,183658-383658,183658-583658,183658-983658,any
195978,183679-283679,183679-383679,183679-583679,183679-983679,any
195981,183681-283681,183681-383681,183681-583681,183681-983681,any
195985,183684-283684,183684-383684,183684-583684,183684-983684,any
195994,183692-283692,183692-383692,183692-583692,183692-983692,any
196001,183698-283698,183698-383698,183698-583698,183698-983698,any
196013,183709-283709,183709-383709,183709-583709,183709-983709,any
196025,183720-283720,183720-383720,183720-583720,183720-983720,any
196029,183723-283723,183723-383723,183723-583723,183723-983723,any
196044,183737-283737,183737-383737,183737-583737,183737-983737,any
196061,183753-283753,183753-383753,183753-583753,183753-983753,any
196084,183775-283775,183775-383775,183775-583775,183775-983775,any
196107,183797-283797,183797-383797,183797-583797,183797-983797,any
196116,183805-283805,183805-383805,183805-583805,183805-983805,any
196119,183807-283807,183807-383807,183807-583807,183807-983807,any
196123,183810-283810,183810-383810,183810-583810,183810-983810,any
196125,183811-283811,183811-383811,183811-583811,183811-983811,any
196126,183811-283811,183811-383811,183811-583811,183811-983811,any
196164,183848-283848,183848-383848,183848-583848,183848-983848,any
196174,183857-283857,183857-383857,183857-583857,183857-983857,any
196178,183860-283860,183860-383860,183860-583860,183860-983860,any
196193,183874-283874,183874-383874,183874-583874,183874-983874,any
196227,183907-283907,183907-383907,183907-583907,183907-983907,any
196232,183911-283911,183911-383911,183911-583911,183911-983911,any
196234,183912-283912,183912-383912,183912-583912,183912-983912,any
196243,183920-283920,183920-383920,183920-583920,183920-983920,any
196266,183942-283942,183942-383942,183942-583942,183942-983942,any
196269,183944-283944,183944-383944,183944-583944,183944-983944,any
196278,183952-283952,183952-383952,183952-583952,183952-983952,any
196280,183953-283953,183953-383953,183953-583953,183953-983953,any
196288,183960-283960,183960-383960,183960-583960,183960-983960,any
196307,183978-283978,183978-383978,183978-583978,183978-983978,any
196308,183978-283978,183978-383978,183978-583978,183978-983978,any
196328,183997-283997,183997-383997,183997-583997,183997-983997,any
196332,184000-284000,184000-384000,184000-584000,184000-984000,any
196338,184005-284005,184005-384005,184005-584005,184005-984005,any
196342,184008-284008,184008-384008,184008-584008,184008-984008,any
196344,184009-284009,184009-384009,184009-584009,184009-984009,any
196348,184012-284012,184012-384012,184012-584012,184012-984012,any
196373,184036-284036,184036-384036,184036-584036,184036-984036,any
196385,184047-284047,184047-384047,184047-584047,184047-984047,any
196386,184047-284047,184047-384047,184047-584047,184047-984047,any
196388,184048-284048,184048-384048,184048-584048,184048-984048,any
196396,184055-284055,184055-384055,184055-584055,184055-984055,any
196403,184061-284061,184061-384061,184061-584061,184061-984061,any
196420,184077-284077,184077-384077,184077-584077,184077-984077,any
196456,184112-284112,184112-384112,184112-584112,184112-984112,any
196467,184122-284122,184122-384122,184122-584122,184122-984122,any
196482,184136-284136,184136-384136,184136-584136,184136-984136,any
196491,184144-284144,184144-384144,184144-584144,184144-984144,any
196501,184153-284153,184153-384153,184153-584153,184153-984153,any
196504,184155-284155,184155-384155,184155-584155,184155-984155,any
196508,184158-284158,184158-384158,184158-584158,184158-984158,any
196514,184163-284163,184163-384163,184163-584163,184163-984163,any
196529,184177-284177,184177-384177,184177-584177,184177-984177,any
196545,184192-284192,184192-384192,184192-584192,184192-984192,any
196554,184200-284200,184200-384200,184200-584200,184200-984200,any
196564,184209-284209,184209-384209,184209-584209,184209-984209,any
196571,184215-284215,184215-384215,184215-584215,184215-984215,any
196584,184227-284227,184227-384227,184227-584227,184227-984227,any
196610,184252-284252,184252-384252,184252-584252,184252-984252,any
196621,184262-284262,184262-384262,184262-584262,184262-984262,any
196626,184266-284266,184266-384266,184266-584266,184266-984266,any
196627,184266-284266,184266-384266,184266-584266,184266-984266,any
196630,184268-284268,184268-384268,184268-584268,184268-984268,any
196643,184280-284280,184280-384280,184280-584280,184280-984280,any
196673,184309-284309,184309-384309,184309-584309,184309-984309,any
196674,184309-284309,184309-384309,184309-584309,184309-984309,any
196675,184309-284309,184309-384309,184309-584309,184309-984309,any
196678,184311-284311,184311-384311,184311-584311,184311-984311,any
196690,184322-284322,184322-384322,184322-584322,184322-984322,any
196707,184338-284338,184338-384338,184338-584338,184338-984338,any
196725,184355-284355,184355-384355,184355-584355,184355-984355,any
196736,184365-284365,184365-384365,184365-584365,184365-984365,any
196742,184370-284370,184370-384370,184370-584370,184370-984370,any
196745,184372-284372,184372-384372,184372-584372,184372-984372,any
196763,184389-284389,184389-384389,184389-584389,184389-984389,any
196771,184396-284396,184396-384396,184396-584396,184396-984396,any
196773,184397-284397,184397-384397,184397-584397,184397-984397,any
196782,184405-284405,184405-384405,184405-584405,184405-984405,any
196788,184410-284410,184410-384410,184410-584410,184410-984410,any
196791,184412-284412,184412-384412,184412-584412,184412-984412,any
196797,184417-284417,184417-384417,184417-584417,184417-984417,any
196805,184424-284424,184424-384424,184424-584424,184424-984424,any
196816,184434-284434,184434-384434,184434-584434,184434-984434,any
196827,184444-284444,184444-384444,184444-584444,184444-984444,any
196857,184473-284473,184473-384473,184473-584473,184473-984473,any
196858,184473-284473,184473-384473,184473-584473,184473-984473,any
196894,184508-284508,184508-384508,184508-584508,184508-984508,any
196898,184511-284511,184511-384511,184511-584511,184511-984511,any
196899,184511-284511,184511-384511,184511-584511,184511-984511,any
196912,184523-284523,184523-384523,184523-584523,184523-984523,any
196943,184553-284553,184553-384553,184553-584553,184553-984553,any
196945,184554-284554,184554-384554,184554-584554,184554-984554,any
196963,184571-284571,184571-384571,184571-584571,184571-984571,any
196971,184578-284578,184578-384578,184578-584578,184578-984578,any
196975,184581-284581,184581-384581,184581-584581,184581-984581,any
196994,184599-284599,184599-384599,184599-584599,184599-984599,any
197012,184616-284616,184616-384616,184616-584616,184616-984616,any
197015,184618-284618,184618-384618,184618-584618,184618-984618,any
197023,184625-284625,184625-384625,184625-584625,184625-984625,any
197036,184637-284637,184637-384637,184637-584637,184637-984637,any
197038,184638-284638,184638-384638,184638-584638,184638-984638,any
197050,184649-284649,184649-384649,184649-584649,184649-984649,any
197054,184652-284652,184652-384652,184652-584652,184652-984652,any
197058,184655-284655,184655-384655,184655-584655,184655-984655,any
197060,184656-284656,184656-384656,184656-584656,184656-984656,any
197069,184664-284664,184664-384664,184664-584664,184664-984664,any
197077,184671-284671,184671-384671,184671-584671,184671-984671,any
197080,184673-284673,184673-384673,184673-584673,184673-984673,any
197093,184685-284685,184685-384685,184685-584685,184685-984685,any
197113,184704-284704,184704-384704,184704-584704,184704-984704,any
197114,184704-284704,184704-384704,184704-584704,184704-984704,any
197130,184719-284719,184719-384719,184719-584719,184719-984719,any
197148,184736-284736,184736-384736,184736-584736,184736-984736,any
197156,184743-284743,184743-384743,184743-584743,184743-984743,any
197163,184749-284749,184749-384749,184749-584749,184749-984749,any
197176,184761-284761,184761-384761,184761-584761,184761-984761,any
197182,184766-284766,184766-384766,184766-584766,184766-984766,any
197184,184767-284767,184767-384767,184767-584767,184767-984767,any
197189,184771-284771,184771-384771,184771-584771,184771-984771,any
197200,184781-284781,184781-384781,184781-584781,184781-984781,any
197202,184782-284782,184782-384782,184782-584782,184782-984782,any
197207,184786-284786,184786-384786,184786-584786,184786-984786,any
197218,184796-284796,184796-384796,184796-584796,184796-984796,any
197240,184817-284817,184817-384817,184817-584817,184817-984817,any
197252,184828-284828,184828-384828,184828-584828,184828-984828,any
197284,184859-284859,184859-384859,184859-584859,184859-984859,any
197286,184860-284860,184860-384860,184860-584860,184860-984860,any
197288,184861-284861,184861-384861,184861-584861,184861-984861,any
197290,184862-284862,184862-384862,184862-584862,184862-984862,any
197292,184863-284863,184863-384863,184863-584863,184863-984863,any
197303,184873-284873,184873-384873,184873-584873,184873-984873,any
197311,184880-284880,184880-384880,184880-584880,184880-984880,any
197319,184887-284887,184887-384887,184887-584887,184887-984887,any
197322,184889-284889,184889-384889,184889-584889,184889-984889,any
197332,184898-284898,184898-384898,184898-584898,184898-984898,any
197344,184909-284909,184909-384909,184909-584909,184909-984909,any
197353,184917-284917,184917-384917,184917-584917,184917-984917,any
197365,184928-284928,184928-384928,184928-584928,184928-984928,any
197369,184931-284931,184931-384931,184931-584931,184931-984931,any
197371,184932-284932,184932-384932,184932-584932,184932-984932,any
197372,184932-284932,184932-384932,184932-584932,184932-984932,any
197380,184939-284939,184939-384939,184939-584939,184939-984939,any
197384,184942-284942,184942-384942,184942-584942,184942-984942,any
197387,184944-284944,184944-384944,184944-584944,184944-984944,any
197389,184945-284945,184945-384945,184945-584945,184945-984945,any
197397,184952-284952,184952-384952,184952-584952,184952-984952,any
197399,184953-284953,184953-384953,184953-584953,184953-984953,any
197418,184971-284971,184971-384971,184971-584971,184971-984971,any
197422,184974-284974,184974-384974,184974-584974,184974-984974,any
197424,184975-284975,184975-384975,184975-584975,184975-984975,any
197429,184979-284979,184979-384979,184979-584979,184979-984979,any
197457,185006-285006,185006-385006,185006-585006,185006-985006,any
197462,185010-285010,185010-385010,185010-585010,185010-985010,any
197481,185028-285028,185028-385028,185028-585028,185028-985028,any
197484,185030-285030,185030-385030,185030-585030,185030-985030,any
197492,185037-285037,185037-385037,185037-585037,185037-985037,any
197495,185039-285039,185039-385039,185039-585039,185039-985039,any
197496,185039-285039,185039-385039,185039-585039,185039-985039,any
197514,185056-285056,185056-385056,185056-585056,185056-985056,any
197522,185063-285063,185063-385063,185063-585063,185063-985063,any
197530,185070-285070,185070-385070,185070-585070,185070-985070,any
197552,185091-285091,185091-385091,185091-585091,185091-985091,any
197553,185091-285091,185091-385091,185091-585091,185091-985091,any
197558,185095-285095,185095-385095,185095-585095,185095-985095,any
197565,185101-285101,185101-385101,185101-585101,185101-985101,any
197583,185118-285118,185118-385118,185118-585118,185118-985118,any
197613,185147-285147,185147-385147,185147-585147,185147-985147,any
197618,185151-285151,185151-385151,185151-585151,185151-985151,any
197642,185174-285174,185174-385174,185174-585174,185174-985174,any
197651,185182-285182,185182-385182,185182-585182,185182-985182,any
197656,185186-285186,185186-385186,185186-585186,185186-985186,any
197665,185194-285194,185194-385194,185194-585194,185194-985194,any
197666,185194-285194,185194-385194,185194-585194,185194-985194,any
197672,185199-285199,185199-385199,185199-585199,185199-985199,any
197683,185209-285209,185209-385209,185209-585209,185209-985209,any
197688,185213-285213,185213-385213,185213-585213,185213-985213,any
197689,185213-285213,185213-385213,185213-585213,185213-985213,any
197702,185225-285225,185225-385225,185225-585225,185225-985225,any
197711,185233-285233,185233-385233,185233-585233,185233-985233,any
197714,185235-285235,185235-385235,185235-585235,185235-985235,any
197719,185239-285239,185239-385239,185239-585239,185239-985239,any
197728,185247-285247,185247-385247,185247-585247,185247-985247,any
197731,185249-285249,185249-385249,185249-585249,185249-985249,any
197732,185249-285249,185249-385249,185249-585249,185249-985249,any
197747,185263-285263,185263-385263,185263-585263,185263-985263,any
197748,185263-285263,185263-385263,185263-585263,185263-985263,any
197752,185266-285266,185266-385266,185266-585266,185266-985266,any
197757,185270-285270,185270-385270,185270-585270,185270-985270,any
197764,185276-285276,185276-385276,185276-585276,185276-985276,any
197810,185321-285321,185321-385321,185321-585321,185321-985321,any
197816,185326-285326,185326-385326,185326-585326,185326-985326,any
197827,185336-285336,185336-385336,185336-585336,185336-985336,any
197836,185344-285344,185344-385344,185344-585344,185344-985344,any
197838,185345-285345,185345-385345,185345-585345,185345-985345,any
197850,185356-285356,185356-385356,185356-585356,185356-985356,any
197860,185365-285365,185365-385365,185365-585365,185365-985365,any
197865,185369-285369,185369-385369,185369-585369,185369-985369,any
197867,185370-285370,185370-385370,185370-585370,185370-985370,any
197871,185373-285373,185373-385373,185373-585373,185373-985373,any
197875,185376-285376,185376-385376,185376-585376,185376-985376,any
197883,185383-285383,185383-385383,185383-585383,185383-985383,any
197886,185385-285385,185385-385385,185385-585385,185385-985385,any
197904,185402-285402,185402-385402,185402-585402,185402-985402,any
197905,185402-285402,185402-385402,185402-585402,185402-985402,any
197918,185414-285414,185414-385414,185414-585414,185414-985414,any
197919,185414-285414,185414-385414,185414-585414,185414-985414,any
197923,185417-285417,185417-385417,185417-585417,185417-985417,any
197932,185425-285425,185425-385425,185425-585425,185425-985425,any
197967,185459-285459,185459-385459,185459-585459,185459-985459,any
197975,185466-285466,185466-385466,185466-585466,185466-985466,any
197988,185478-285478,185478-385478,185478-585478,185478-985478,any
197997,185486-285486,185486-385486,185486-585486,185486-985486,any
198000,185488-285488,185488-385488,185488-585488,185488-985488,any
198003,185490-285490,185490-385490,185490-585490,185490-985490,any
198019,185505-285505,185505-385505,185505-585505,185505-985505,any
198050,185535-285535,185535-385535,185535-585535,185535-985535,any
198068,185552-285552,185552-385552,185552-585552,185552-985552,any
198069,185552-285552,185552-385552,185552-585552,185552-985552,any
198078,185560-285560,185560-385560,185560-585560,185560-985560,any
198087,185568-285568,185568-385568,185568-585568,185568-985568,any
198091,185571-285571,185571-385571,185571-585571,185571-985571,any
198096,185575-285575,185575-385575,185575-585575,185575-985575,any
198097,185575-285575,185575-385575,185575-585575,185575-985575,any
198103,185580-285580,185580-385580,185580-585580,185580-985580,any
198124,185600-285600,185600-385600,185600-585600,185600-985600,any
198145,185620-285620,185620-385620,185620-585620,185620-985620,any
198146,185620-285620,185620-385620,185620-585620,185620-985620,any
198148,185621-285621,185621-385621,185621-585621,185621-985621,any
198163,185635-285635,185635-385635,185635-585635,185635-985635,any
198170,185641-285641,185641-385641,185641-585641,185641-985641,any
198183,185653-285653,185653-385653,185653-585653,185653-985653,any
198186,185655-285655,185655-385655,185655-585655,185655-985655,any
198188,185656-285656,185656-385656,185656-585656,185656-985656,any
198196,185663-285663,185663-385663,185663-585663,185663-985663,any
198197,185663-285663,185663-385663,185663-585663,185663-985663,any
198200,185665-285665,185665-385665,185665-585665,185665-985665,any
198202,185666-285666,185666-385666,185666-585666,185666-985666,any
198203,185666-285666,185666-385666,185666-585666,185666-985666,any
198211,185673-285673,185673-385673,185673-585673,185673-985673,any
198216,185677-285677,185677-385677,185677-585677,185677-985677,any
198223,185683-285683,185683-385683,185683-585683,185683-985683,any
198237,185696-285696,185696-385696,185696-585696,185696-985696,any
198244,185702-285702,185702-385702,185702-585702,185702-985702,any
198258,185715-285715,185715-385715,185715-585715,185715-985715,any
198259,185715-285715,185715-385715,185715-585715,185715-985715,any
198262,185717-285717,185717-385717,185717-585717,185717-985717,any
198265,185719-285719,185719-385719,185719-585719,185719-985719,any
198270,185723-285723,185723-385723,185723-585723,185723-985723,any
198277,185729-285729,185729-385729,185729-585729,185729-985729,any
198282,185733-285733,185733-385733,185733-585733,185733-985733,any
198286,185736-285736,185736-385736,185736-585736,185736-985736,any
198316,185765-285765,185765-385765,185765-585765,185765-985765,any
198320,185768-285768,185768-385768,185768-585768,185768-985768,any
198330,185777-285777,185777-385777,185777-585777,185777-985777,any
198341,185787-285787,185787-385787,185787-585787,185787-985787,any
198346,185791-285791,185791-385791,185791-585791,185791-985791,any
198362,185806-285806,185806-385806,185806-585806,185806-985806,any
198385,185828-285828,185828-385828,185828-585828,185828-985828,any
198388,185830-285830,185830-385830,185830-585830,185830-985830,any
198393,185834-285834,185834-385834,185834-585834,185834-985834,any
198400,185840-285840,185840-385840,185840-585840,185840-985840,any
198422,185861-285861,185861-385861,185861-585861,185861-985861,any
198425,185863-285863,185863-385863,185863-585863,185863-985863,any
198431,185868-285868,185868-385868,185868-585868,185868-985868,any
198452,185888-285888,185888-385888,185888-585888,185888-985888,any
198459,185894-285894,185894-385894,185894-585894,185894-985894,any
198478,185912-285912,185912-385912,185912-585912,185912-985912,any
198493,185926-285926,185926-385926,185926-585926,185926-985926,any
198526,185958-285958,185958-385958,185958-585958,185958-985958,any
198542,185973-285973,185973-385973,185973-585973,185973-985973,any
198546,185976-285976,185976-385976,185976-585976,185976-985976,any
198554,185983-285983,185983-385983,185983-585983,185983-985983,any
198559,185987-285987,185987-385987,185987-585987,185987-985987,any
198581,186008-286008,186008-386008,186008-586008,186008-986008,any
198587,186013-286013,186013-386013,186013-586013,186013-986013,any
198606,186031-286031,186031-386031,186031-586031,186031-986031,any
198613,186037-286037,186037-386037,186037-586037,186037-986037,any
198614,186037-286037,186037-386037,186037-586037,186037-986037,any
198616,186038-286038,186038-386038,186038-586038,186038-986038,any
198619,186040-286040,186040-386040,186040-586040,186040-986040,any
198632,186052-286052,186052-386052,186052-586052,186052-986052,any
198634,186053-286053,186053-386053,186053-586053,186053-986053,any
198654,186072-286072,186072-386072,186072-586072,186072-986072,any
198660,186077-286077,186077-386077,186077-586077,186077-986077,any
198663,186079-286079,186079-386079,186079-586079,186079-986079,any
198664,186079-286079,186079-386079,186079-586079,186079-986079,any
198668,186082-286082,186082-386082,186082-586082,186082-986082,any
198681,186094-286094,186094-386094,186094-586094,186094-986094,any
198686,186098-286098,186098-386098,186098-586098,186098-986098,any
198692,186103-286103,186103-386103,186103-586103,186103-986103,any
198727,186137-286137,186137-386137,186137-586137,186137-986137,any
198728,186137-286137,186137-386137,186137-586137,186137-986137,any
198741,186149-286149,186149-386149,186149-586149,186149-986149,any
198744,186151-286151,186151-386151,186151-586151,186151-986151,any
198751,186157-286157,186157-386157,186157-586157,186157-986157,any
198759,186164-286164,186164-386164,186164-586164,186164-986164,any
198766,186170-286170,186170-386170,186170-586170,186170-986170,any
198769,186172-286172,186172-386172,186172-586172,186172-986172,any
198774,186176-286176,186176-386176,186176-586176,186176-986176,any
198790,186191-286191,186191-386191,186191-586191,186191-986191,any
198797,186197-286197,186197-386197,186197-586197,186197-986197,any
198801,186200-286200,186200-386200,186200-586200,186200-986200,any
198813,186211-286211,186211-386211,186211-586211,186211-986211,any
198815,186212-286212,186212-386212,186212-586212,186212-986212,any
198822,186218-286218,186218-386218,186218-586218,186218-986218,any
198824,186219-286219,186219-386219,186219-586219,186219-986219,any
198825,186219-286219,186219-386219,186219-586219,186219-986219,any
198830,186223-286223,186223-386223,186223-586223,186223-986223,any
198841,186233-286233,186233-386233,186233-586233,186233-986233,any
198863,186254-286254,186254-386254,186254-586254,186254-986254,any
198867,186257-286257,186257-386257,186257-586257,186257-986257,any
198870,186259-286259,186259-386259,186259-586259,186259-986259,any
198873,186261-286261,186261-386261,186261-586261,186261-986261,any
198901,186288-286288,186288-386288,186288-586288,186288-986288,any
198914,186300-286300,186300-386300,186300-586300,186300-986300,any
198943,186328-286328,186328-386328,186328-586328,186328-986328,any
198953,186337-286337,186337-386337,186337-586337,186337-986337,any
198965,186348-286348,186348-386348,186348-586348,186348-986348,any
198986,186368-286368,186368-386368,186368-586368,186368-986368,any
198992,186373-286373,186373-386373,186373-586373,186373-986373,any
198996,186376-286376,186376-386376,186376-586376,186376-986376,any
198997,186376-286376,186376-386376,186376-586376,186376-986376,any
199005,186383-286383,186383-386383,186383-586383,186383-986383,any
199011,186388-286388,186388-386388,186388-586388,186388-986388,any
199018,186394-286394,186394-386394,186394-586394,186394-986394,any
199029,186404-286404,186404-386404,186404-586404,186404-986404,any
199031,186405-286405,186405-386405,186405-586405,186405-986405,any
199039,186412-286412,186412-386412,186412-586412,186412-986412,any
199046,186418-286418,186418-386418,186418-586418,186418-986418,any
199058,186429-286429,186429-386429,186429-586429,186429-986429,any
199067,186437-286437,186437-386437,186437-586437,186437-986437,any
199070,186439-286439,186439-386439,186439-586439,186439-986439,any
199085,186453-286453,186453-386453,186453-586453,186453-986453,any
199095,186462-286462,186462-386462,186462-586462,186462-986462,any
199114,186480-286480,186480-386480,186480-586480,186480-986480,any
199116,186481-286481,186481-386481,186481-586481,186481-986481,any
199136,186500-286500,186500-386500,186500-586500,186500-986500,any
199143,186506-286506,186506-386506,186506-586506,186506-986506,any
199170,186532-286532,186532-386532,186532-586532,186532-986532,any
199172,186533-286533,186533-386533,186533-586533,186533-986533,any
